titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
0000474/2025 ACUERDO MARCO DE SUMINISTRO DE TRACTO SUCESIVO Y PRECIO UNITARIO AL AMPARO DEL ARTÍCULO 16.3.A DE LA LCSP DE OSTEOSÍNTESIS Y CESIÓN DE USO DE ACCESORIOS NECESARIOS PARA LA IMPLANTACIÓN E INSTRUMENTAL ESPECÍFICO (COLUMNA 15.15), MATERIAL FUNGIBLE PARA COLUMNA(SU.PC.SANI.01.11.21), FUNGIBLE PARA RECONSTRUCCIÓN Y GENERACIÓN TISULAR (SU.PC.SANI.01.11.10) Y NEUROESTIMULADORES CON SUS ELECTRODOS (SU.PC.SANI.04.05.05) EN LOS CENTROS SANITARIOS QUE INTEGRAN LA CENTRAL PROVINCIAL DE COMPRAS DE HUELVA.	CONTR 2025 0000439877	Suministros	Publicada	9765977.65	26368139.66	2025-07-31	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831438	33100000-1 Equipamiento médico33141000-0 Productos consumibles médicos no químicos desechables y productos consumibles hematológicos33184000-3 Artículos y aparatos de prótesis33184100-4 Implantes quirúrgicos	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	Acuerdo marco	Ordinario	ACUERDO MARCO DE SUMINISTRO DE TRACTO SUCESIVO Y PRECIO UNITARIO AL AMPARO DEL ARTÍCULO 16.3.A DE LA LCSP DE OSTEOSÍNTESIS Y CESIÓN DE USO DE ACCESORIOS NECESARIOS PARA LA IMPLANTACIÓN E INSTRUMENTAL ESPECÍFICO (COLUMNA 15.15), MATERIAL FUNGIBLE PARA COLUMNA(SU.PC.SANI.01.11.21), FUNGIBLE PARA RECONSTRUCCIÓN Y GENERACIÓN TISULAR (SU.PC.SANI.01.11.10) Y NEUROESTIMULADORES CON SUS ELECTRODOS (SU.PC.SANI.04.05.05) EN LOS CENTROS SANITARIOS QUE INTEGRAN LA CENTRAL PROVINCIAL DE COMPRAS DE HUELVA.	and_pliego_prescripciones_309046.pdf	Andalucía	2025-07-10	Huelva	Andalucia	material, deber, empresa, huelva, producto, deposito, sistema, siguiente, hospital, caracteristica (1.0)	Tecnológica	tecnologia	
SUMINISTRO E INSTALACIÓN DE MOBILIARIO DE OFICINA EN SEDES ATRIAN	CONTR 2025 0000448909	Suministros	Publicada	56686.0	136046.4	2025-07-21	Agencia Tributaria de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833035	39100000-3 Mobiliario39130000-2 Muebles de oficina	Abierto simplificado	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	SUMINISTRO E INSTALACIÓN DE MOBILIARIO DE OFICINA CON DESTINO A LAS SEDES DE LA AGENCIA TRIBUTARIA DE ANDALUCÍA	and_pliego_prescripciones_313493.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	suministro, mobiliario, color, metalico, trabajo, mesa, tributario, contrato, fondo, adjudicatario (1.0)	No tecnológica		mobiliario
Asistencia Técnica para desarrollo de proyectos pedagógicos	CONTR 2025 0000224286	Servicios	Publicada	157329.1	393322.75	2025-07-02	Centro Andaluz de Arte Contemporáneo	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831204	92521000-9 Servicios de museos	Abierto	Electrónica	2 años	NotFound	2100-12-31	NotFound	Ordinario	Atención al público en las visitas guiadas  y asistencia a programas didácticos del CAAC	and_pliego_prescripciones_308489.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	servicio, contrato, caac, arte, visita, contemporaneo, centro, adjudicatario, presente, actividad (1.0)	Tecnológica	datos	seguro
A.T. DESARROLLO, COORDINACIÓN Y DIFUSIÓN DE ACTIVIDADES Y EXPOSICIONES	CONTR 2025 0000271546	Servicios	Publicada	314658.22	629316.44	2025-06-27	Centro Andaluz de Arte Contemporáneo	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830703	92521000-9 Servicios de museos	Abierto	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	ASISTENCIA TCA. PARA EL DESARROLLO, COORDINACIÓN Y DIFUSIÓN EN MEDIOS DE ACTIVIDADES Y EXPOSICIONES EN EL CAAC	and_pliego_prescripciones_307171.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	actividad, contrato, arte, exposición, centro, caac, contemporaneo, adjudicatario, servicio, coordinacion (1.0)	Tecnológica	datos	seguro
SEVILLA 0000350/2025 PNSP 15/2024 SERVICIO DE MANTENIMIENTO DE LOS APARATOS DE ELECTROMEDICINA DE LA MARCA KONICA MINOLTA EN LOS CENTROS PERTENECIENTES A LA CENTRAL PROVINCIAL DE COMPRAS DE SEVILLA, MEDIANTE PROCEDIMIENTO NEGOCIADO SIN PUBLICIDAD, POR EXCLUSIVIDAD CON LA EMPRESA SAKURA PRODUCTOS HOSPITALARIOS, S.A. (CCA: +6.C+7993J)	CONTR 2025 0000445969	Servicios	Publicada	21456.0	90115.2	2025-07-18	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832865	50421000-2 Servicios de reparación y mantenimiento de equipos médicos	Negociado sin publicidad	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	PNSP 15/2024  servicio de mantenimiento de aparatos de electromedicina de la marca Konica Minolta, para los centros pertenecientes a la CPC-SE, mediante procedimiento negociado sin publicidad, por exclusividad con la empresa SAKURA PRODUCTOS HOSPITALARIOS, S.A.	and_pliego_prescripciones_313005.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	iva, mantenimiento, konico, sevilla, excluido, importe, minolto, centro, equipamiento, lote (1.0)	Tecnológica	tecnologia	
Organización de evento de networking para los proyectos agroalimentarios beneficiarios dentro del proyecto Agropyme Avanza AAA en el marco de cooperación Interreg V A España - Portugal 2021-2027 (POCTEP)	2025/046	Servicios	Publicada	4132.23	4132.23	2025-06-24	Fundación Pública Andaluza Andalucía Emprende (en transición)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830353	79952000-2 Servicios de eventos	Abierto simplificado	Electrónica	5 meses	NotFound	2100-12-31	NotFound	Ordinario	Organización de evento de networking para los proyectos agroalimentarios beneficiarios dentro del proyecto Agropyme Avanza AAA en el marco de cooperación Interreg V A España - Portugal 2021-2027 (POCTEP)	and_pliego_prescripciones_306100.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	andalucia, emprender, proyecto, evento, codigo, servicio, documento, trabajo, verificacion, persona (1.0)	No tecnológica		limpieza, catering, mobiliario, eventos
Servicio de transporte de unidades móviles para Canal Sur Radio y Televisión, S.A.	EC/2-014/25	Servicios	Publicada	96000.0	172800.0	2025-07-02	Canal Sur Radio y Televisión, S.A.	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830760	34130000-7 Vehículos de motor para el transporte de mercancías34133000-8 Camiones articulados	Abierto	Electrónica	2 años	NotFound	2100-12-31	NotFound	Ordinario	Servicio de transporte de unidades móviles para Canal Sur Radio y Televisión, S.A.	and_pliego_prescripciones_307341.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	documento, servicio, electronico, copia, autentico, firmado, paginar, verificacion, trabajo, empresa (1.0)	No tecnológica		limpieza, comida, seguro
OBRAS CONSOLIDACIÓN INTEGRAL EDIFICACIONES SAN ISIDORO DEL CAMPO.SANTIPONCE	CONTR 2025 0000210813	Obras	Publicada	2619818.69	2619818.69	2025-07-10	Consejería de Cultura y Deporte. Secretaría General Técnica	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831699	45212350-4 Edificios de interés histórico o arquitectónico	Abierto simplificado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Urgencia	OBRAS DE CONSERVACIÓN PARA LA CONSOLIDACIÓN INTEGRAL DE DETERMINADAS EDIFICACIONES DEL ENCLAVE MONUMENTAL SAN ISIDORO DEL CAMPO. ALMAAZARA (LOTE 1) Y PÓSITO Y ALMACÉN (LOTE 2)	and_pliego_prescripciones_309598.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	obra, san, isidoro, conservacion, lote, arquitecto, consolidacion, monumental, campo, enclave (1.0)	N/S		
0000374/2025 ACUERDO MARCO CON UNA ÚNICA EMPRESA, PARA EL SUMINISTRO DE TRACTO SUCESIVO Y PRECIO UNITARIO, DE MATERIAL FUNGIBLE DE INFUSIÓN PARENTERAL POR BOMBA Y SISTEMAS DE INFUSIÓN DE CITOSTÁTICOS, CON DISPONIBILIDAD DE USO DEL EQUIPAMIENTO NECESARIO PARA LA UTILIZACIÓN DEL MATERIAL, PERTENECIENTE A LOS SUBGRUPOS SU.PC.SANI.01.05 Y SU.PC.SANI.01.25, PARA LOS CENTROS INTEGRANTES DE LA CENTRAL PROVINCIAL DE COMPRAS DE ALMERÍA, MEDIANTE PROCEDIMIENTO ABIERTO. SUJETO A REGULACIÓN ARMONIZADA.	CONTR 2025 0000398730	Suministros	Publicada	1983917.71	4364618.97	2025-07-08	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829594	33141000-0 Productos consumibles médicos no químicos desechables y productos consumibles hematológicos33194210-1 Instrumentos y aparatos para transfusión sanguínea	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	Acuerdo marco	Ordinario	ACUERDO MARCO CON UNA ÚNICA EMPRESA, PARA EL SUMINISTRO DE TRACTO SUCESIVO Y PRECIO UNITARIO, DE MATERIAL FUNGIBLE DE INFUSIÓN PARENTERAL POR BOMBA Y SISTEMAS DE INFUSIÓN DE CITOSTÁTICOS, CON DISPONIBILIDAD DE USO DEL EQUIPAMIENTO NECESARIO PARA LA UTILIZACIÓN DEL MATERIAL, PERTENECIENTE A LOS SUBGRUPOS SU.PC.SANI.01.05 Y SU.PC.SANI.01.25, PARA LOS CENTROS INTEGRANTES DE LA CENTRAL PROVINCIAL DE COMPRAS DE ALMERÍA, MEDIANTE PROCEDIMIENTO ABIERTO. SUJETO A REGULACIÓN ARMONIZADA.	and_pliego_prescripciones_304022.pdf	Andalucía	2025-07-10	Almeria	Andalucia	Sin tema	N/S		
SERVICIO MONITORES ATENCIÓN ALUMNADO COMEDOR CÓRDOBA CURSOS 25/26 Y 26/27	CONTR 2025 0000180768	Servicios	Publicada	1276783.2	7660699.2	2025-06-30	Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Córdoba	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830042	80410000-1 Servicios escolares diversos	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO MONITORES ATENCIÓN ALUMNADO USUARIO COMEDORES GESTIÓN DIRECTA PROV. CÓRDOBA CURSOS 25/26 Y 26/27	and_pliego_prescripciones_305422.pdf	Andalucía	2025-07-10	Cordoba	Andalucia	educativo, comedor, ceip, monitor, ocio, sociocultural, animacion, servicio, contrato, centro (1.0)	No tecnológica		comida, mobiliario
SERVICIO LIMPIEZA CENTROS DOCENTES PÚBLICOS CURSO 25/26 Y 26/27	CONTR 2025 0000254101	Servicios	Publicada	5381655.18	32289931.06	2025-06-30	Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Córdoba	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829850	90919300-5 Servicios de limpieza de escuelas	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE LIMPIEZA EN DIVERSOS CENTROS DOCENTES DE LA PROVINCIA DE CÓRDOBA DURANTE EL CURSO 2025/2026 Y 2026/2027	and_pliego_prescripciones_308161.pdf	Andalucía	2025-07-10	Cordoba	Andalucia	ies, limpiezacordoba, limpieza, limpiadora, servicio, cordoba, centro, cordobo, profesional, desarrollo (1.0)	No tecnológica		limpieza, desinfeccion, mobiliario, seguro
0001006/2024 SERVICIO DE LIMPIEZA, GESTIÓN DE RESIDUOS Y SERVICIOS COMPLEMENTARIOS DESCRITOS EN EL PLIEGO DE PRESCRIPCIONES TÉCNICAS CON VALOR SOCIAL Y MEDIOAMBIENTAL DE LOS DISTRITOS SANITARIOS DE LA PROVINCIA DE MÁLAGA PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD VINCULADOS A LA CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA	CONTR 2024 0001175047	Servicios	Publicada	12254619.13	26960162.09	2025-07-14	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=818893	90910000-9 Servicios de limpieza	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE LIMPIEZA, GESTIÓN DE RESIDUOS Y SERVICIOS COMPLEMENTARIOS DESCRITOS EN EL PLIEGO DE PRESCRIPCIONES TÉCNICAS CON VALOR SOCIAL Y MEDIOAMBIENTAL DE LOS DISTRITOS SANITARIOS DE LA PROVINCIA DE MÁLAGA PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD VINCULADOS A LA CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA	and_pliego_prescripciones_303130.pdf	Andalucía	2025-07-10	Malaga	Andalucia	ambiental, servicio, proveedor, gestion, contratacion, requisito, contratista, relacion, sigasa, fecha (1.0)	No tecnológica		obras, limpieza
CONC. Sº PÚB. TPTE. VIAJEROS POR CTRA. VAM = O SUPERIOR A 1.000.000 €	CONTR 2024 0000192809	Concesión de servicios	Publicada	657793343.31	657793343.31	2025-09-02	Consejería de Fomento, Articulación del Territorio y Vivienda. Secretaría General Técnica	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=711319	60100000-9 Servicios de transporte por carretera	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	CONCESIÓN DE SERVICIO PÚBLICO DE TRANSPORTE REGULAR DE VIAJEROS DE USO GENERAL POR CARRETERA CON UN VALOR ANUAL MEDIO DE CADA LOTE DEL CONTRATO IGUAL O SUPERIOR A 1.000.000 EUROS.	and_pliego_prescripciones_305426.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	expediente, contratacion, hacer, javier, moreno, francisco, servicio, contrato, particular, pliego (1.0)	N/S		
46_25SC Desmontaje, traslado y montaje edificio prefabricado 04010981	CONTR 2025 0000292782	Servicios	Publicada	73400.0	73400.0	2025-06-23	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829862	45223800-4 Montaje e instalación de estructuras prefabricadas	Abierto simplificado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	46_25SC Servicio desmontaje, traslado y montaje de un edificio modular prefabricado con destino al SESO del IES Turaniana de Roquetas de Mar	and_pliego_prescripciones_304541.pdf	Andalucía	2025-07-10	Almeria	Andalucia	prefabricado, agencia, educativo, edificio, centro, modular, educacion, publicar, andaluz, contr (1.0)	No tecnológica		reparacion, infraestructura, limpieza, seguro
SERVICIO DE MANTENIMIENTO INSTALACIONES LABORATORIO SALUD PUBLICA JAEN	CONTR 2025 0000327515	Servicios	Publicada	9866.88	19733.76	2025-06-20	Delegación Territorial de Salud y Consumo en Jaén	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829982	50531100-7 Servicios de reparación y mantenimiento de calderas50532000-3 Servicios de reparación y mantenimiento de maquinaria eléctrica, aparatos y equipo asociado50730000-1 Servicios de reparación y mantenimiento de grupos refrigeradores	Abierto simplificado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE MANTENIMIENTO DE LAS INSTALACIONES DEL LABORATORIO DE SALUD PUBLICA DE JAEN	and_pliego_prescripciones_305120.pdf	Andalucía	2025-07-10	Jaen	Andalucia	mantenimiento, empresa, adjudicatario, instalación, contrato, salud, equipo, tecnico, debera, preventivo (1.0)	No tecnológica		reparacion, infraestructura, inclusion_social, seguro, obra_civil
103/ISE/2025/SE SERVICIO TRANSPORTE ESCOLAR PROVINCIA DE SEVILLA	CONTR 2025 0000430819	Servicios	Publicada	58119.6	58119.6	2025-07-17	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833012	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	103/ISE/2025/SE SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE SEVILLA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN EN FONDOS EUROPEOS	and_pliego_prescripciones_313400.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	europeo, educativo, union, transporte, especial, promover, social, consejerio, profesional, cofinanciado (0.9900000095367432)	No tecnológica		transporte_escolar
00087/ISE/2025/AL CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392377	Servicios	Publicada	12775.98	15331.18	2025-06-26	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830419	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00087/ISE/2025/AL CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN EN	and_pliego_prescripciones_306327.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
00080/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392360	Servicios	Publicada	32759.04	39310.85	2025-06-25	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830398	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00080/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_306257.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
00074/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392200	Servicios	Publicada	15969.12	19162.94	2025-06-25	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830397	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00074/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_306395.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
00073/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR ALMERIA	CONTR 2025 0000392191	Servicios	Publicada	24712.14	29654.57	2025-06-25	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830395	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00073/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_306245.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
Alquiler de infraestructura física para la interconexión de los puntos de presencia de Zoco y CICA	EXPT24-00119	Suministros	Publicada	90851.82	169590.06	2025-07-21	Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A. (SANDETEL)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832977	64214400-3 Alquiler de líneas terrestres de comunicación64221000-1 Servicios de interconexión	Abierto	Electrónica	36 meses	NotFound	2100-12-31	NotFound	Ordinario	Alquiler de una infraestructura física (fibra oscura) para la interconexión de los Puntos de Presencia (en adelante PDP) de ZOCO y CICA alternativa a la actualmente existente procedente del Expt. 17-00149.  La infraestructura física de fibra óptica oscura solicitada deberá ser alternativa en equipamiento y trazado a la actualmente existente, procedente del EXPT17-00149, con el fin de dotar de mayor redundancia a las infraestructuras y servicios que actualmente hacen uso de la misma.	and_pliego_prescripciones_313341.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	garcia, servicio, documento, verificacion, codigo, antonio, jo él, adjudicatario, sandetel, infraestructura (1.0)	Tecnológica	software, tecnologia	reparacion, infraestructura, limpieza, alimentacion, mobiliario, seguro, obra_civil
SERVICIO DE MENTORIZACIÓN DE STARTUPS PARTICIPANTES EN LOS PROGRAMAS DE APOYO AL EMPRENDIMIENTO DIGITAL DE LA AGENCIA DIGITAL DE ANDALUCÍA	EXPT25-00045	Servicios	Publicada	225230.0	839206.98	2025-07-04	Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A. (SANDETEL)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830747	71318000-0 Servicios de asesoramiento y consultoría en ingeniería80500000-9 Servicios de formación	Abierto	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	"Se encuentran dentro del objeto del presente expediente, como actividades principales a desarrollar por la adjudicataria, las siguientes (sin ánimo de exhaustividad): 
1. Desarrollo de un servicio de mentoring personalizado a las startups participantes en los programas de apoyo al emprendimiento digital de la Agencia Digital de Andalucía (en adelante la ADA). 
2. Desarrollo de un servicio de jefatura de proyecto, que contempla las siguientes actividades principales: 
¿ Gestión de la prestación del servicio de mentorización. ¿ Configuración y coordinación del equipo de mentores puesto a disposición del servicio y la mejora continua de este equipo. 
¿ Seguimiento de la prestación del servicio, a través de las correspondientes herramientas y cuadros de mando. 
¿ Seguimiento y evaluación de los participantes, así como del equipo de mentores y la calidad y satisfacción con el programa"	and_pliego_prescripciones_307280.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	documento, desarrollo, sociedad, servicio, copia, andaluz, destinatario, trabajo, direccion, verificacion (1.0)	Tecnológica	tecnologia, datos, blockchain	
00072/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392185	Servicios	Publicada	16379.52	19655.42	2025-06-25	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830392	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00072/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_306241.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
